epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,4897.32,0.67714,3.13276,0.2708,0.42512,1.10064,0.97227,0.979,0.99099,0.90077,0.85435,0.81954,0.83685,0.69456,0.54431,1.97722,0.05222,0.27321,0.97589,0.006337,0.006337,0.006337
39,5017.86,0.67572,3.13842,0.27238,0.42453,1.09884,0.97255,0.98028,0.99103,0.90192,0.85184,0.82006,0.83713,0.6973,0.54253,1.97505,0.0518,0.2729,0.97618,0.006238,0.006238,0.006238
40,5162.61,0.67243,3.11752,0.27085,0.42362,1.09903,0.97185,0.98156,0.99107,0.90164,0.85029,0.82417,0.84045,0.6993,0.53976,1.95675,0.05209,0.27147,0.9739,0.006139,0.006139,0.006139
41,5300.09,0.6675,3.07074,0.26936,0.41784,1.09659,0.97254,0.97976,0.99075,0.90208,0.85703,0.81967,0.84176,0.70255,0.53776,1.94237,0.05097,0.27055,0.97179,0.00604,0.00604,0.00604
42,5445.59,0.66724,3.05199,0.26668,0.41105,1.0932,0.97201,0.98117,0.991,0.90203,0.85322,0.82343,0.84114,0.70541,0.53761,1.9292,0.05079,0.26836,0.96974,0.005941,0.005941,0.005941
43,5584.7,0.66443,3.04778,0.26685,0.41209,1.09368,0.97331,0.98015,0.99139,0.90293,0.85504,0.82871,0.84306,0.70631,0.5358,1.9102,0.05031,0.26742,0.96912,0.005842,0.005842,0.005842
44,5740.47,0.65937,2.99155,0.26476,0.41147,1.08977,0.97259,0.98117,0.99115,0.90277,0.85872,0.83261,0.84526,0.70759,0.53492,1.89639,0.04994,0.26659,0.96829,0.005743,0.005743,0.005743
45,5914.8,0.66349,3.00971,0.26133,0.41149,1.09244,0.9739,0.97968,0.9911,0.90331,0.86493,0.83491,0.85139,0.70987,0.53365,1.87664,0.04924,0.26583,0.96721,0.005644,0.005644,0.005644
46,6154.53,0.65755,2.97806,0.26087,0.40891,1.09053,0.97355,0.98036,0.99111,0.90427,0.86568,0.8385,0.85474,0.71329,0.53306,1.87181,0.04928,0.26394,0.96749,0.005545,0.005545,0.005545
47,6404.29,0.6577,2.97574,0.25952,0.4097,1.08956,0.97427,0.98002,0.9912,0.90395,0.86587,0.8344,0.85288,0.71428,0.53227,1.86866,0.04897,0.26338,0.96704,0.005446,0.005446,0.005446
48,6669.08,0.65394,2.95057,0.25866,0.40777,1.08932,0.97469,0.98028,0.99128,0.9041,0.86432,0.83623,0.85297,0.71533,0.53134,1.86449,0.04871,0.26229,0.96644,0.005347,0.005347,0.005347
49,6934.07,0.65078,2.93036,0.2597,0.40616,1.08642,0.9752,0.97964,0.99135,0.90484,0.86571,0.83671,0.85428,0.71683,0.53022,1.8577,0.0483,0.26153,0.96585,0.005248,0.005248,0.005248
50,7270.98,0.64626,2.89149,0.25766,0.40221,1.08293,0.97612,0.9789,0.99135,0.90499,0.86579,0.83367,0.8533,0.71732,0.5291,1.86183,0.04801,0.26121,0.96511,0.005149,0.005149,0.005149
51,7676.83,0.64619,2.88097,0.25539,0.40014,1.08276,0.97552,0.97972,0.99133,0.90533,0.865,0.83705,0.85478,0.71886,0.52774,1.85263,0.04776,0.26055,0.96382,0.00505,0.00505,0.00505
52,8054.26,0.64863,2.87416,0.25247,0.40224,1.08359,0.97601,0.97962,0.99137,0.90516,0.86571,0.83773,0.85535,0.71986,0.52648,1.84451,0.04747,0.2592,0.96279,0.004951,0.004951,0.004951
